price,dispaly_res_type,os,processor_brand,connectivity_feature,battery,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera
7499,Full HD,other,Snapdragon,4,3000,2,16,Honor,5.5,13.0,5.0
13999,Full HD+,other,other,4,3400,6,64,Honor,6.21,13.0,24.0
8699,HD+,Android 13,Mediatek,4,5000,8,128,Infinix,6.6,50.0,8.0
7099,HD+,Android 13,Mediatek,4,5000,4,64,Infinix,6.6,50.0,8.0
8699,HD+,Android 13,Mediatek,4,5000,8,128,Infinix,6.6,50.0,8.0
7099,HD+,Android 13,Mediatek,4,5000,4,64,Infinix,6.6,50.0,8.0
7099,HD+,Android 13,Mediatek,4,5000,4,64,Infinix,6.6,50.0,8.0
7099,HD+,Android 13,Mediatek,4,5000,4,64,Infinix,6.6,50.0,8.0
8699,HD+,Android 13,Mediatek,4,5000,8,128,Infinix,6.6,50.0,8.0
8699,HD+,Android 13,Mediatek,4,5000,8,128,Infinix,6.6,50.0,8.0
6399,HD+,Android 13,other,4,5000,3,64,Infinix,6.6,13.0,8.0
6399,HD+,Android 13,other,4,5000,3,64,Infinix,6.6,13.0,8.0
6399,HD+,Android 13,other,4,5000,3,64,Infinix,6.6,13.0,8.0
6399,HD+,Android 13,other,4,5000,3,64,Infinix,6.6,13.0,8.0
7799,HD+,Android 12,other,4,6000,4,128,Infinix,6.6,13.0,5.0
7799,HD+,Android 12,other,4,6000,4,128,Infinix,6.6,13.0,5.0
7799,HD+,Android 12,other,4,6000,4,128,Infinix,6.6,13.0,5.0
7499,HD+,Android 12,other,4,6000,4,64,Infinix,6.6,13.0,5.0
7499,HD+,Android 12,other,4,6000,4,64,Infinix,6.6,13.0,5.0
7499,HD+,Android 12,other,4,6000,4,64,Infinix,6.6,13.0,5.0
6199,HD+,Android 12,other,4,5000,2,64,Infinix,6.6,8.0,5.0
6199,HD+,Android 12,other,4,5000,2,64,Infinix,6.6,8.0,5.0
6199,HD+,Android 12,other,4,5000,2,64,Infinix,6.6,8.0,5.0
6199,HD+,Android 12,other,4,5000,2,64,Infinix,6.6,8.0,5.0
6999,HD+,other,Mediatek,4,3050,2,16,Infinix,5.45,13.0,8.0
7499,HD+,Android 11,Mediatek,4,5000,2,64,Infinix,6.6,8.0,5.0
7499,HD+,Android 11,Mediatek,4,5000,2,64,Infinix,6.6,8.0,5.0
7499,HD+,Android 11,Mediatek,4,5000,2,64,Infinix,6.6,8.0,5.0
6999,HD+,Android 11,Mediatek,4,5000,2,32,Infinix,6.6,8.0,5.0
7199,HD+,Android 11,Mediatek,4,5000,2,32,Infinix,6.52,8.0,8.0
8299,HD+,Android 12,Mediatek,4,5000,3,64,Infinix,6.82,8.0,5.0
8299,HD+,Android 12,Mediatek,4,5000,3,64,Infinix,6.82,8.0,5.0
10999,Full HD+,other,Mediatek,4,4500,3,32,Infinix,5.99,12.0,16.0
7499,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
7499,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
9999,HD+,Android 10,Mediatek,4,6000,3,32,Infinix,6.82,13.0,8.0
9999,HD+,Android 10,Mediatek,4,6000,3,32,Infinix,6.82,13.0,8.0
9999,HD+,Android 10,Mediatek,4,6000,3,32,Infinix,6.82,13.0,8.0
10999,HD+,Android 11,Mediatek,4,6000,6,64,Infinix,6.82,48.0,8.0
7999,HD+,other,Mediatek,4,3500,2,32,Infinix,6.21,13.0,8.0
7999,HD+,other,Mediatek,4,3050,3,32,Infinix,5.45,13.0,8.0
7999,HD+,other,Mediatek,4,3050,3,32,Infinix,5.45,13.0,8.0
7499,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
6499,HD+,Android 10,Mediatek,4,5000,2,32,Infinix,6.1,8.0,5.0
7799,HD+,Android 13,Mediatek,4,6000,4,128,Infinix,6.6,50.0,8.0
7799,HD+,Android 13,Mediatek,4,6000,4,128,Infinix,6.6,50.0,8.0
7799,HD+,Android 13,Mediatek,4,6000,4,128,Infinix,6.6,50.0,8.0
6999,HD+,other,Mediatek,4,3050,2,16,Infinix,5.45,13.0,8.0
6999,HD+,Android 11,Mediatek,4,5000,2,32,Infinix,6.6,8.0,5.0
7499,HD+,Android 11,Mediatek,4,5000,2,64,Infinix,6.6,8.0,5.0
6999,HD+,Android 11,Mediatek,4,5000,2,32,Infinix,6.6,8.0,5.0
7199,HD+,Android 11,Mediatek,4,5000,2,32,Infinix,6.52,8.0,8.0
7499,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
7199,HD+,Android 11,Mediatek,4,5000,2,32,Infinix,6.52,8.0,8.0
10999,HD+,Android 11,Mediatek,4,6000,6,64,Infinix,6.82,48.0,8.0
8299,HD+,Android 12,Mediatek,4,5000,3,64,Infinix,6.82,8.0,5.0
9999,HD+,Android 10,Mediatek,4,6000,3,32,Infinix,6.82,13.0,8.0
7999,HD+,other,Mediatek,4,3500,2,32,Infinix,6.21,13.0,8.0
7999,HD+,other,Mediatek,4,3500,2,32,Infinix,6.21,13.0,8.0
6499,HD+,Android 10,Mediatek,4,5000,2,32,Infinix,6.1,8.0,5.0
7490,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
7490,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
7490,HD+,Android 10,Mediatek,4,6000,2,32,Infinix,6.82,13.0,8.0
11999,HD+,Android 14,Snapdragon,5,5000,8,128,Motorola,6.5,50.0,16.0
11999,HD+,Android 14,Snapdragon,5,5000,8,128,Motorola,6.5,50.0,16.0
13999,Full HD+,Android 13,Mediatek,5,6000,8,128,Motorola,6.5,50.0,16.0
7999,HD+,Android 14,Mediatek,4,6000,4,128,MOTOROLA,6.6,50.0,16.0
13999,Full HD+,Android 13,Mediatek,5,6000,8,128,Motorola,6.5,50.0,16.0
15999,Full HD+,Android 13,Mediatek,5,6000,12,256,Motorola,6.5,50.0,16.0
15999,Full HD+,Android 13,Mediatek,5,6000,12,256,Motorola,6.5,50.0,16.0
17999,Full HD+,Android 13,Snapdragon,5,5000,12,256,Motorola,6.55,50.0,16.0
10999,HD+,Android 14,Snapdragon,5,5000,4,128,Motorola,6.5,50.0,16.0
10999,HD+,Android 14,Snapdragon,5,5000,4,128,Motorola,6.5,50.0,16.0
22999,Full HD+,Android 13,Mediatek,5,5000,8,128,Motorola,6.55,50.0,32.0
7999,HD+,Android 14,Mediatek,4,6000,4,128,MOTOROLA,6.6,50.0,16.0
13999,Full HD+,Android 13,Mediatek,5,6000,8,128,Motorola,6.5,50.0,16.0
10999,HD+,Android 14,Snapdragon,5,5000,4,128,Motorola,6.5,50.0,16.0
6499,HD+,Android 13,other,4,5000,4,64,Motorola,6.5,13.0,5.0
6999,HD+,Android 14,other,4,5000,4,64,MOTOROLA,6.6,16.0,5.0
17999,Full HD+,Android 13,Snapdragon,5,5000,12,256,Motorola,6.55,50.0,16.0
8999,HD+,Android 14,Mediatek,4,6000,8,128,MOTOROLA,6.6,50.0,16.0
